Rk,Gtm,Date,...4,Opp,Type,ScoreRslt,ScoreTm,ScoreOpp,ScoreOT,TeamFG,TeamFGA,TeamFG_pct,Team3P,Team3PA,Team3P_pct,Team2P,Team2PA,Team2P_pct,TeameFG_pct,TeamFT,TeamFTA,TeamFT_pct,TeamORB,TeamDRB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,OpponentFG,OpponentFGA,OpponentFG_pct,Opponent3P,Opponent3PA,Opponent3P_pct,Opponent2P,Opponent2PA,Opponent2P_pct,OpponenteFG_pct,OpponentFT,OpponentFTA,OpponentFT_pct,OpponentORB,OpponentDRB,OpponentTRB,OpponentAST,OpponentSTL,OpponentBLK,OpponentTOV,OpponentPF,team,season,homeaway,team_full,year,alphteam,gameid,Neutral
11,11,2025-12-10,N,Yale,REG (Non-Conf),L,82,93,NA,32,62,.516,11,23,.478,21,39,.538,.605,7,19,.368,3,23,26,17,7,1,7,27,30,62,.484,7,19,.368,23,43,.535,.540,26,34,.765,15,30,45,20,3,2,10,18,albany-ny,2026,N,Albany (NY),2026,Albany (NY),2025-12-10_Albany (NY)_82_Yale_93,1
12,12,2025-12-13,@,Florida Atlantic,REG (Non-Conf),L,79,105,NA,29,63,.460,9,23,.391,20,40,.500,.532,12,20,.600,6,18,24,12,9,4,14,19,38,68,.559,16,35,.457,22,33,.667,.676,13,21,.619,8,30,38,24,6,8,13,20,albany-ny,2026,H,Albany (NY),2026,Albany (NY),2025-12-13_Albany (NY)_79_Florida Atlantic_105,0
13,13,2025-12-17,@,Stony Brook,REG (Non-Conf),W,71,55,NA,27,53,.509,9,23,.391,18,30,.600,.594,8,18,.444,4,34,38,17,4,9,12,11,20,61,.328,6,25,.240,14,36,.389,.377,9,13,.692,5,21,26,12,7,3,6,16,albany-ny,2026,H,Albany (NY),2026,Albany (NY),2025-12-17_Albany (NY)_71_Stony Brook_55,0
15,15,2025-12-30,@,South Carolina,REG (Non-Conf),L,67,96,NA,27,62,.435,6,17,.353,21,45,.467,.484,7,8,.875,13,12,25,15,6,2,15,13,33,55,.600,14,30,.467,19,25,.760,.727,16,17,.941,8,18,26,19,8,4,9,8,albany-ny,2026,H,Albany (NY),2026,Albany (NY),2025-12-30_Albany (NY)_67_South Carolina_96,0
16,16,2026-01-03,@,UMass Lowell,REG (Conf),L,71,83,NA,29,62,.468,5,18,.278,24,44,.545,.508,8,13,.615,6,16,22,11,5,6,10,15,33,67,.493,5,16,.313,28,51,.549,.530,12,17,.706,14,23,37,14,7,7,9,10,albany-ny,2026,H,Albany (NY),2026,Albany (NY),2026-01-03_Albany (NY)_71_UMass Lowell_83,0
20,20,2026-01-22,@,Maine,REG (Conf),L,49,52,NA,20,53,.377,4,23,.174,16,30,.533,.415,5,8,.625,10,25,35,13,2,1,11,19,18,46,.391,3,14,.214,15,32,.469,.424,13,18,.722,2,19,21,14,6,4,7,11,albany-ny,2026,H,Albany (NY),2026,Albany (NY),2026-01-22_Albany (NY)_49_Maine_52,0
21,21,2026-01-24,@,New Hampshire,REG (Conf),L,72,80,NA,25,48,.521,4,14,.286,21,34,.618,.563,18,23,.783,6,18,24,7,6,2,13,17,25,55,.455,15,35,.429,10,20,.500,.591,15,17,.882,8,13,21,17,6,1,10,15,albany-ny,2026,H,Albany (NY),2026,Albany (NY),2026-01-24_Albany (NY)_72_New Hampshire_80,0
24,24,2026-02-05,@,Bryant,REG (Conf),W,65,63,NA,27,56,.482,8,20,.400,19,36,.528,.554,3,5,.600,6,16,22,15,12,8,10,11,24,48,.500,11,24,.458,13,24,.542,.615,4,5,.800,3,21,24,17,4,4,16,14,albany-ny,2026,H,Albany (NY),2026,Albany (NY),2026-02-05_Albany (NY)_65_Bryant_63,0
26,26,2026-02-14,@,Binghamton,REG (Conf),W,77,74,NA,23,51,.451,8,21,.381,15,30,.500,.529,23,30,.767,10,27,37,11,7,1,13,18,22,49,.449,7,19,.368,15,30,.500,.520,23,29,.793,5,21,26,11,11,5,10,20,albany-ny,2026,H,Albany (NY),2026,Albany (NY),2026-02-14_Albany (NY)_77_Binghamton_74,0
27,27,2026-02-19,@,NJIT,REG (Conf),W,81,63,NA,29,58,.500,9,16,.563,20,42,.476,.578,14,18,.778,16,20,36,16,5,7,9,15,24,59,.407,5,21,.238,19,38,.500,.449,10,16,.625,11,14,25,12,5,1,7,15,albany-ny,2026,H,Albany (NY),2026,Albany (NY),2026-02-19_Albany (NY)_81_NJIT_63,0
