Rk,Gtm,Date,...4,Opp,Type,ScoreRslt,ScoreTm,ScoreOpp,ScoreOT,TeamFG,TeamFGA,TeamFG_pct,Team3P,Team3PA,Team3P_pct,Team2P,Team2PA,Team2P_pct,TeameFG_pct,TeamFT,TeamFTA,TeamFT_pct,TeamORB,TeamDRB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,OpponentFG,OpponentFGA,OpponentFG_pct,Opponent3P,Opponent3PA,Opponent3P_pct,Opponent2P,Opponent2PA,Opponent2P_pct,OpponenteFG_pct,OpponentFT,OpponentFTA,OpponentFT_pct,OpponentORB,OpponentDRB,OpponentTRB,OpponentAST,OpponentSTL,OpponentBLK,OpponentTOV,OpponentPF,team,season,homeaway,team_full,year,alphteam,gameid,Neutral
1,1,2021-11-09,@,Utah,REG (Non-Conf),L,56,70,NA,22,57,.386,4,21,.190,18,36,.500,.421,8,17,.471,7,20,27,11,9,6,10,24,24,62,.387,7,23,.304,17,39,.436,.444,15,23,.652,19,33,52,12,5,3,20,22,abilene-christian,2022,H,Abilene Christian,2026,Abilene Christian,2021-11-09_Abilene Christian_56_Utah_70,0
2,2,2021-11-12,@,Texas A&M,REG (Non-Conf),L,80,81,2OT,32,73,.438,10,26,.385,22,47,.468,.507,6,13,.462,14,21,35,22,13,0,16,23,24,54,.444,9,21,.429,15,33,.455,.528,24,33,.727,10,29,39,14,8,6,20,15,abilene-christian,2022,H,Abilene Christian,2026,Abilene Christian,2021-11-12_Abilene Christian_80_Texas A&M_81,0
3,3,2021-11-16,@,UT Arlington,REG (Non-Conf),W,80,71,OT,22,67,.328,7,20,.350,15,47,.319,.381,29,38,.763,17,23,40,13,15,0,14,25,24,51,.471,6,14,.429,18,37,.486,.529,17,24,.708,7,30,37,16,8,7,26,30,abilene-christian,2022,H,Abilene Christian,2026,Abilene Christian,2021-11-16_Abilene Christian_80_UT Arlington_71,0
12,12,2021-12-30,@,Utah Valley,REG (Conf),W,80,76,NA,31,63,.492,10,25,.400,21,38,.553,.571,8,9,.889,9,16,25,23,12,0,6,15,29,50,.580,12,23,.522,17,27,.630,.700,6,8,.750,7,23,30,22,3,8,16,10,abilene-christian,2022,H,Abilene Christian,2026,Abilene Christian,2021-12-30_Abilene Christian_80_Utah Valley_76,0
13,13,2022-01-01,@,Dixie State,REG (Conf),W,64,50,NA,22,61,.361,4,20,.200,18,41,.439,.393,16,24,.667,10,23,33,10,15,3,12,23,14,43,.326,2,18,.111,12,25,.480,.349,20,27,.741,8,32,40,10,6,5,27,29,abilene-christian,2022,H,Abilene Christian,2026,Abilene Christian,2022-01-01_Abilene Christian_64_Dixie State_50,0
16,16,2022-01-13,@,Grand Canyon,REG (Conf),L,68,95,NA,26,61,.426,7,21,.333,19,40,.475,.484,9,14,.643,7,13,20,9,9,1,9,20,34,54,.630,12,24,.500,22,30,.733,.741,15,21,.714,7,27,34,18,4,3,15,17,abilene-christian,2022,H,Abilene Christian,2026,Abilene Christian,2022-01-13_Abilene Christian_68_Grand Canyon_95,0
17,17,2022-01-15,@,New Mexico State,REG (Conf),L,63,77,NA,17,50,.340,5,24,.208,12,26,.462,.390,24,27,.889,8,16,24,7,6,0,12,29,23,45,.511,11,23,.478,12,22,.545,.633,20,30,.667,7,19,26,9,4,2,12,21,abilene-christian,2022,H,Abilene Christian,2026,Abilene Christian,2022-01-15_Abilene Christian_63_New Mexico State_77,0
20,20,2022-01-26,@,Texas Rio Grande Valley,REG (Conf),W,87,85,NA,28,66,.424,7,30,.233,21,36,.583,.477,24,30,.800,9,15,24,20,12,2,12,28,27,46,.587,6,16,.375,21,30,.700,.652,25,32,.781,6,25,31,14,4,6,26,27,abilene-christian,2022,H,Abilene Christian,2026,Abilene Christian,2022-01-26_Abilene Christian_87_Texas Rio Grande Valley_85,0
21,21,2022-01-29,@,Lamar,REG (Conf),W,85,82,NA,26,63,.413,7,24,.292,19,39,.487,.468,26,39,.667,14,25,39,14,6,1,9,21,27,60,.450,7,16,.438,20,44,.455,.508,21,27,.778,8,25,33,18,5,4,12,28,abilene-christian,2022,H,Abilene Christian,2026,Abilene Christian,2022-01-29_Abilene Christian_85_Lamar_82,0
24,24,2022-02-12,@,Tarleton State,REG (Conf),W,77,63,NA,30,59,.508,7,20,.350,23,39,.590,.568,10,12,.833,12,18,30,21,7,1,10,17,22,50,.440,3,15,.200,19,35,.543,.470,16,20,.800,10,17,27,11,2,1,13,14,abilene-christian,2022,H,Abilene Christian,2026,Abilene Christian,2022-02-12_Abilene Christian_77_Tarleton State_63,0
