Rk,Gtm,Date,...4,Opp,Type,ScoreRslt,ScoreTm,ScoreOpp,ScoreOT,TeamFG,TeamFGA,TeamFG_pct,Team3P,Team3PA,Team3P_pct,Team2P,Team2PA,Team2P_pct,TeameFG_pct,TeamFT,TeamFTA,TeamFT_pct,TeamORB,TeamDRB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,OpponentFG,OpponentFGA,OpponentFG_pct,Opponent3P,Opponent3PA,Opponent3P_pct,Opponent2P,Opponent2PA,Opponent2P_pct,OpponenteFG_pct,OpponentFT,OpponentFTA,OpponentFT_pct,OpponentORB,OpponentDRB,OpponentTRB,OpponentAST,OpponentSTL,OpponentBLK,OpponentTOV,OpponentPF,team,season
1,1,2022-11-07,,Jackson State,REG (Non-Conf),W,65,56,,23,57,.404,8,28,.286,15,29,.517,.474,11,20,.550,4,28,32,12,9,5,15,17,22,55,.400,2,19,.105,20,36,.556,.418,10,14,.714,7,33,40,9,6,1,21,21,abilene-christian,2023
2,2,2022-11-11,@,Texas A&M,REG (Non-Conf),L,58,77,,20,52,.385,8,18,.444,12,34,.353,.462,10,12,.833,9,15,24,12,11,0,20,22,23,44,.523,6,16,.375,17,28,.607,.591,25,35,.714,10,23,33,7,11,3,19,17,abilene-christian,2023
3,3,2022-11-15,,McMurry,REG (Non-Conf),W,104,46,,41,68,.603,5,17,.294,36,51,.706,.640,17,22,.773,15,29,44,22,15,5,18,18,15,49,.306,6,22,.273,9,27,.333,.367,10,15,.667,4,13,17,7,9,2,27,18,abilene-christian,2023
4,4,2022-11-21,N,Wright State,REG (Non-Conf),L,61,77,,25,58,.431,7,22,.318,18,36,.500,.491,4,10,.400,6,20,26,15,11,3,23,23,30,50,.600,5,11,.455,25,39,.641,.650,12,19,.632,1,23,24,18,12,5,18,14,abilene-christian,2023
5,5,2022-11-22,N,Weber State,REG (Non-Conf),L,67,77,,26,53,.491,9,17,.529,17,36,.472,.575,6,11,.545,2,20,22,20,7,3,15,19,24,51,.471,6,21,.286,18,30,.600,.529,23,25,.920,8,21,29,10,4,0,18,13,abilene-christian,2023
6,6,2022-11-23,N,UC Riverside,REG (Non-Conf),L,65,76,,22,60,.367,7,24,.292,15,36,.417,.425,14,18,.778,12,17,29,14,7,3,14,21,24,52,.462,9,24,.375,15,28,.536,.548,19,21,.905,9,26,35,16,7,1,17,19,abilene-christian,2023
7,7,2022-11-27,@,Northern Arizona,REG (Non-Conf),W,92,82,,34,60,.567,10,18,.556,24,42,.571,.650,14,22,.636,8,21,29,18,6,2,10,22,28,58,.483,10,22,.455,18,36,.500,.569,16,22,.727,9,21,30,13,3,2,10,18,abilene-christian,2023
8,8,2022-11-30,,North American,REG (Non-Conf),W,93,46,,31,68,.456,11,29,.379,20,39,.513,.537,20,26,.769,17,21,38,19,15,3,9,18,13,41,.317,5,13,.385,8,28,.286,.378,15,21,.714,5,21,26,5,4,4,24,23,abilene-christian,2023
9,9,2022-12-03,,Arl Baptist,REG (Non-Conf),W,88,42,,36,67,.537,8,25,.320,28,42,.667,.597,8,10,.800,16,24,40,22,13,8,15,18,12,44,.273,2,9,.222,10,35,.286,.295,16,19,.842,4,15,19,8,5,3,19,11,abilene-christian,2023
10,10,2022-12-06,@,Kansas State,REG (Non-Conf),L,64,81,,25,55,.455,7,19,.368,18,36,.500,.518,7,12,.583,7,19,26,14,6,2,13,21,31,53,.585,3,12,.250,28,41,.683,.613,16,29,.552,9,23,32,23,7,3,12,13,abilene-christian,2023
11,11,2022-12-10,,Texas A&M–Commerce,REG (Non-Conf),W,83,64,,28,55,.509,6,15,.400,22,40,.550,.564,21,24,.875,10,15,25,15,10,0,9,17,23,50,.460,7,26,.269,16,24,.667,.530,11,15,.733,9,16,25,13,4,2,18,20,abilene-christian,2023
