Rk,Gtm,Date,...4,Opp,Type,ScoreRslt,ScoreTm,ScoreOpp,ScoreOT,TeamFG,TeamFGA,TeamFG_pct,Team3P,Team3PA,Team3P_pct,Team2P,Team2PA,Team2P_pct,TeameFG_pct,TeamFT,TeamFTA,TeamFT_pct,TeamORB,TeamDRB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,OpponentFG,OpponentFGA,OpponentFG_pct,Opponent3P,Opponent3PA,Opponent3P_pct,Opponent2P,Opponent2PA,Opponent2P_pct,OpponenteFG_pct,OpponentFT,OpponentFTA,OpponentFT_pct,OpponentORB,OpponentDRB,OpponentTRB,OpponentAST,OpponentSTL,OpponentBLK,OpponentTOV,OpponentPF,team,season
12,12,2022-12-17,@,Cal State Bakersfield,REG (Non-Conf),W,65,59,,20,49,.408,10,21,.476,10,28,.357,.510,15,22,.682,3,16,19,13,6,1,10,17,22,49,.449,2,9,.222,20,40,.500,.469,13,16,.813,8,26,34,13,3,7,14,24,abilene-christian,2023
13,13,2022-12-21,,Howard Payne,REG (Non-Conf),W,113,52,,44,79,.557,13,35,.371,31,44,.705,.639,12,25,.480,21,35,56,24,13,4,18,20,16,54,.296,4,24,.167,12,30,.400,.333,16,22,.727,1,17,18,2,8,4,26,23,abilene-christian,2023
14,14,2022-12-29,@,Stephen F. Austin,REG (Conf),L,68,75,,28,61,.459,6,20,.300,22,41,.537,.508,6,11,.545,9,21,30,19,4,3,12,21,27,57,.474,4,14,.286,23,43,.535,.509,17,25,.680,10,24,34,19,8,3,10,18,abilene-christian,2023
15,15,2022-12-31,,Tarleton State,REG (Conf),W,69,63,,21,49,.429,5,16,.313,16,33,.485,.480,22,31,.710,7,22,29,8,9,4,16,17,21,48,.438,4,8,.500,17,40,.425,.479,17,21,.810,3,24,27,4,7,1,21,26,abilene-christian,2023
16,16,2023-01-07,,Southern Utah,REG (Conf),L,72,74,,25,63,.397,5,25,.200,20,38,.526,.437,17,19,.895,7,16,23,12,11,3,9,26,24,43,.558,4,11,.364,20,32,.625,.605,22,35,.629,8,30,38,5,3,5,21,26,abilene-christian,2023
17,17,2023-01-11,@,Texas–Rio Grande Valley,REG (Conf),L,86,103,,29,72,.403,5,19,.263,24,53,.453,.438,23,27,.852,8,11,19,23,13,3,10,34,31,46,.674,7,15,.467,24,31,.774,.750,34,48,.708,5,33,38,21,5,10,25,23,abilene-christian,2023
18,18,2023-01-14,@,Tarleton State,REG (Conf),L,63,72,,24,57,.421,5,19,.263,19,38,.500,.465,10,21,.476,10,21,31,15,7,0,12,24,20,45,.444,5,11,.455,15,34,.441,.500,27,36,.750,6,26,32,12,7,3,12,19,abilene-christian,2023
19,19,2023-01-18,@,Utah Valley,REG (Conf),L,54,84,,21,70,.300,4,20,.200,17,50,.340,.329,8,14,.571,11,21,32,14,9,1,9,18,33,62,.532,7,21,.333,26,41,.634,.589,11,15,.733,10,41,51,27,5,7,17,19,abilene-christian,2023
20,20,2023-01-21,,UT Arlington,REG (Conf),W,84,68,,31,49,.633,10,17,.588,21,32,.656,.735,12,15,.800,5,18,23,20,8,2,14,21,23,51,.451,8,17,.471,15,34,.441,.529,14,20,.700,11,13,24,12,5,3,14,14,abilene-christian,2023
21,21,2023-01-26,,Grand Canyon,REG (Conf),L,73,75,,29,61,.475,6,18,.333,23,43,.535,.525,9,17,.529,7,16,23,15,9,2,8,20,24,47,.511,8,17,.471,16,30,.533,.596,19,24,.792,9,24,33,11,5,5,16,17,abilene-christian,2023
22,22,2023-01-28,,Utah Tech,REG (Conf),W,81,76,,27,57,.474,0,6,.000,27,51,.529,.474,27,32,.844,9,25,34,12,10,1,14,26,26,51,.510,11,23,.478,15,28,.536,.618,13,20,.650,5,21,26,11,6,1,19,27,abilene-christian,2023
23,23,2023-02-01,@,Seattle,REG (Conf),W,83,68,,34,67,.507,8,16,.500,26,51,.510,.567,7,9,.778,8,30,38,16,7,1,6,15,27,65,.415,9,28,.321,18,37,.486,.485,5,9,.556,9,25,34,13,3,3,11,13,abilene-christian,2023
24,24,2023-02-04,@,California Baptist,REG (Conf),W,87,71,,27,52,.519,11,20,.550,16,32,.500,.625,22,25,.880,8,20,28,15,7,1,10,20,25,53,.472,6,25,.240,19,28,.679,.528,15,23,.652,8,17,25,16,4,3,13,16,abilene-christian,2023
25,25,2023-02-11,,Sam Houston State,REG (Conf),L,62,77,,21,54,.389,10,26,.385,11,28,.393,.481,10,12,.833,6,15,21,14,7,1,11,18,27,49,.551,6,14,.429,21,35,.600,.612,17,24,.708,9,26,35,13,5,1,12,16,abilene-christian,2023
26,,2023-02-15,@,New Mexico State,REG (Conf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abilene-christian,2023
27,27,2023-02-17,@,Grand Canyon,REG (Conf),L,84,94,,28,61,.459,5,18,.278,23,43,.535,.500,23,30,.767,5,13,18,10,10,2,3,23,30,45,.667,10,14,.714,20,31,.645,.778,24,33,.727,5,26,31,7,1,3,17,24,abilene-christian,2023
28,28,2023-02-22,,Stephen F. Austin,REG (Conf),L,87,91,2OT,27,71,.380,7,21,.333,20,50,.400,.430,26,31,.839,13,22,35,19,6,1,12,20,32,59,.542,8,14,.571,24,45,.533,.610,19,26,.731,6,30,36,14,6,5,17,28,abilene-christian,2023
29,29,2023-02-25,,Utah Valley,REG (Conf),L,62,66,,23,61,.377,10,29,.345,13,32,.406,.459,6,8,.750,7,22,29,12,9,5,16,17,27,54,.500,4,14,.286,23,40,.575,.537,8,10,.800,4,28,32,15,6,4,15,12,abilene-christian,2023
30,,2023-03-01,,New Mexico State,REG (Conf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abilene-christian,2023
31,31,2023-03-03,@,Sam Houston State,REG (Conf),L,54,72,,15,47,.319,3,15,.200,12,32,.375,.351,21,28,.750,5,22,27,11,3,2,7,19,25,54,.463,12,25,.480,13,29,.448,.574,10,18,.556,9,28,37,15,3,2,10,22,abilene-christian,2023
Rk,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,abilene-christian,2023
32,32,2023-03-07,N,California Baptist,CTOURN,L,62,69,,27,67,.403,2,20,.100,25,47,.532,.418,6,9,.667,12,24,36,16,6,0,12,25,22,47,.468,8,18,.444,14,29,.483,.553,17,27,.630,4,26,30,15,5,2,16,19,abilene-christian,2023
,,,,,,13-17,2249,2133,,812,1800,.451,211,613,.344,601,1187,.506,.510,414,573,.723,267,619,886,471,264,71,370,617,727,1526,.476,188,517,.364,539,1009,.534,.538,491,687,.715,205,720,925,374,167,98,509,573,abilene-christian,2023
1,1,2022-11-07,@,Bowling Green,REG (Non-Conf),L,58,62,,22,55,.400,12,34,.353,10,21,.476,.509,2,4,.500,2,25,27,11,5,6,11,17,22,56,.393,6,20,.300,16,36,.444,.446,12,19,.632,6,29,35,9,8,2,13,14,air-force,2023
2,2,2022-11-11,,Delaware,REG (Non-Conf),W,75,71,,25,53,.472,8,23,.348,17,30,.567,.547,17,25,.680,10,28,38,16,4,4,11,23,19,57,.333,8,26,.308,11,31,.355,.404,25,30,.833,11,21,32,9,6,2,8,24,air-force,2023
3,3,2022-11-14,,Texas A&M–Commerce,REG (Non-Conf),L,69,73,OT,24,53,.453,6,22,.273,18,31,.581,.509,15,26,.577,7,28,35,15,12,5,16,22,25,61,.410,10,35,.286,15,26,.577,.492,13,22,.591,10,27,37,16,7,5,16,20,air-force,2023
4,4,2022-11-17,,Portland,REG (Non-Conf),L,51,64,,15,45,.333,8,25,.320,7,20,.350,.422,13,16,.813,4,24,28,10,5,1,16,17,20,54,.370,8,27,.296,12,27,.444,.444,16,17,.941,8,24,32,11,5,3,10,19,air-force,2023
5,5,2022-11-21,,USC Upstate,REG (Non-Conf),W,83,56,,27,52,.519,9,24,.375,18,28,.643,.606,20,27,.741,11,29,40,16,5,2,12,15,23,54,.426,4,20,.200,19,34,.559,.463,6,15,.400,5,14,19,5,5,4,9,24,air-force,2023
6,6,2022-11-23,,Mississippi Valley State,REG (Non-Conf),W,64,51,,24,46,.522,13,29,.448,11,17,.647,.663,3,9,.333,6,15,21,18,8,6,7,11,19,48,.396,4,9,.444,15,39,.385,.438,9,12,.750,12,17,29,6,4,2,10,11,air-force,2023
7,7,2022-11-27,,Montana,REG (Non-Conf),W,59,56,,21,43,.488,3,14,.214,18,29,.621,.523,14,23,.609,3,19,22,14,8,6,6,13,24,51,.471,1,11,.091,23,40,.575,.480,7,11,.636,7,23,30,7,3,2,13,19,air-force,2023
8,8,2022-11-30,,Arkansas–Pine Bluff,REG (Non-Conf),W,81,53,,27,50,.540,11,24,.458,16,26,.615,.650,16,22,.727,8,25,33,24,14,10,15,17,20,59,.339,0,14,.000,20,45,.444,.339,13,20,.650,13,17,30,6,9,1,16,21,air-force,2023
9,9,2022-12-03,@,Portland State,REG (Non-Conf),L,64,68,,18,45,.400,5,21,.238,13,24,.542,.456,23,34,.676,6,21,27,14,5,1,14,23,22,44,.500,4,17,.235,18,27,.667,.545,20,27,.741,1,22,23,12,5,2,13,29,air-force,2023
10,10,2022-12-06,,South Dakota,REG (Non-Conf),W,79,58,,25,51,.490,11,24,.458,14,27,.519,.598,18,22,.818,7,25,32,19,7,7,8,14,21,57,.368,3,21,.143,18,36,.500,.395,13,15,.867,11,20,31,7,5,2,10,20,air-force,2023
11,11,2022-12-09,,Arkansas State,REG (Non-Conf),W,80,55,,29,52,.558,11,23,.478,18,29,.621,.663,11,13,.846,5,17,22,19,11,6,4,11,21,53,.396,6,12,.500,15,41,.366,.453,7,9,.778,12,18,30,12,2,1,15,10,air-force,2023
12,12,2022-12-18,,Tarleton State,REG (Non-Conf),W,81,67,,29,50,.580,9,22,.409,20,28,.714,.670,14,17,.824,8,25,33,18,4,7,15,19,24,53,.453,0,3,.000,24,50,.480,.453,19,27,.704,8,13,21,5,11,1,7,20,air-force,2023
13,13,2022-12-20,@,Northern Colorado,REG (Non-Conf),W,67,65,,24,55,.436,5,22,.227,19,33,.576,.482,14,21,.667,5,27,32,11,3,5,7,16,23,58,.397,5,23,.217,18,35,.514,.440,14,19,.737,8,30,38,13,2,2,11,19,air-force,2023
14,14,2022-12-28,@,San Diego State,REG (Conf),L,55,71,,21,49,.429,8,22,.364,13,27,.481,.510,5,5,1.000,4,13,17,15,7,2,14,16,24,49,.490,11,23,.478,13,26,.500,.602,12,18,.667,9,21,30,10,8,5,13,13,air-force,2023
15,15,2022-12-31,,Nevada,REG (Conf),L,69,75,,24,52,.462,9,21,.429,15,31,.484,.548,12,16,.750,5,20,25,18,4,2,12,21,23,51,.451,6,14,.429,17,37,.459,.510,23,26,.885,8,24,32,12,6,2,13,22,air-force,2023
16,16,2023-01-03,,Utah State,REG (Conf),L,65,77,,26,60,.433,9,26,.346,17,34,.500,.508,4,7,.571,6,16,22,18,4,4,11,22,25,49,.510,6,12,.500,19,37,.514,.571,21,27,.778,8,27,35,10,4,2,11,14,air-force,2023
17,17,2023-01-10,@,Colorado State,REG (Conf),W,85,74,OT,31,61,.508,7,19,.368,24,42,.571,.566,16,19,.842,9,25,34,17,6,2,9,22,25,57,.439,3,12,.250,22,45,.489,.465,21,25,.840,5,17,22,19,6,4,8,18,air-force,2023
18,18,2023-01-14,@,Fresno State,REG (Conf),W,51,48,,17,54,.315,9,25,.360,8,29,.276,.398,8,9,.889,9,21,30,15,4,3,10,11,20,53,.377,2,15,.133,18,38,.474,.396,6,7,.857,10,23,33,4,6,6,11,9,air-force,2023
19,19,2023-01-17,,Wyoming,REG (Conf),W,82,74,,28,53,.528,10,25,.400,18,28,.643,.623,16,19,.842,3,18,21,15,7,3,7,11,28,51,.549,6,16,.375,22,35,.629,.608,12,17,.706,4,22,26,11,2,3,11,16,air-force,2023
20,20,2023-01-21,,San Diego State,REG (Conf),L,60,70,,24,52,.462,8,26,.308,16,26,.615,.538,4,10,.400,2,18,20,14,6,4,6,19,22,57,.386,4,15,.267,18,42,.429,.421,22,23,.957,15,30,45,6,1,4,8,17,air-force,2023
21,21,2023-01-24,@,San Jose State,REG (Conf),L,52,82,,19,49,.388,4,22,.182,15,27,.556,.429,10,11,.909,5,13,18,9,2,7,6,12,34,59,.576,5,14,.357,29,45,.644,.619,9,14,.643,8,23,31,13,3,1,5,9,air-force,2023
22,22,2023-01-27,@,New Mexico,REG (Conf),L,73,81,,26,55,.473,9,26,.346,17,29,.586,.555,12,15,.800,4,21,25,18,3,3,12,21,28,53,.528,5,17,.294,23,36,.639,.575,20,26,.769,6,24,30,11,9,5,10,15,air-force,2023
23,23,2023-01-31,,Boise State,REG (Conf),L,52,59,,20,51,.392,4,24,.167,16,27,.593,.431,8,10,.800,6,21,27,9,3,5,11,12,22,51,.431,7,22,.318,15,29,.517,.500,8,9,.889,4,24,28,6,6,5,10,15,air-force,2023
24,24,2023-02-03,@,Nevada,REG (Conf),L,52,72,,19,45,.422,9,24,.375,10,21,.476,.522,5,12,.417,3,16,19,13,4,4,9,26,22,46,.478,4,13,.308,18,33,.545,.522,24,32,.750,6,27,33,16,3,2,7,16,air-force,2023
25,25,2023-02-07,,Colorado State,REG (Conf),L,53,69,,20,48,.417,9,22,.409,11,26,.423,.510,4,7,.571,7,15,22,13,3,1,10,13,29,52,.558,5,11,.455,24,41,.585,.606,6,8,.750,7,23,30,10,5,2,7,11,air-force,2023
26,26,2023-02-10,,New Mexico,REG (Conf),W,89,77,,35,53,.660,9,17,.529,26,36,.722,.745,10,16,.625,5,22,27,21,7,5,12,18,28,55,.509,7,15,.467,21,40,.525,.573,14,22,.636,8,15,23,9,7,4,12,19,air-force,2023
27,27,2023-02-14,@,Utah State,REG (Conf),L,65,80,,24,55,.436,7,22,.318,17,33,.515,.500,10,12,.833,3,23,26,14,6,4,8,15,29,60,.483,9,22,.409,20,38,.526,.558,13,15,.867,7,30,37,15,5,1,8,12,air-force,2023
28,28,2023-02-17,@,Wyoming,REG (Conf),W,75,69,,23,42,.548,8,17,.471,15,25,.600,.643,21,29,.724,2,24,26,15,7,1,12,18,22,52,.423,6,26,.231,16,26,.615,.481,19,26,.731,5,20,25,9,5,5,10,25,air-force,2023
29,29,2023-02-21,,Fresno State,REG (Conf),L,69,74,,24,41,.585,10,21,.476,14,20,.700,.707,11,13,.846,4,19,23,20,1,4,20,17,28,53,.528,2,13,.154,26,40,.650,.547,16,17,.941,5,15,20,15,12,2,6,12,air-force,2023
30,30,2023-02-24,@,UNLV,REG (Conf),L,53,54,,20,51,.392,7,22,.318,13,29,.448,.461,6,8,.750,4,23,27,15,11,5,14,17,22,53,.415,3,20,.150,19,33,.576,.443,7,10,.700,7,25,32,9,8,5,16,14,air-force,2023
31,31,2023-03-04,,San Jose State,REG (Conf),L,61,63,,23,58,.397,6,22,.273,17,36,.472,.448,9,14,.643,10,24,34,13,6,0,8,15,25,53,.472,7,24,.292,18,29,.621,.538,6,13,.462,9,25,34,6,4,7,12,17,air-force,2023
Rk,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,air-force,2023
32,32,2023-03-08,@,UNLV,CTOURN,L,70,78,OT,22,57,.386,8,23,.348,14,34,.412,.456,18,20,.900,7,26,33,14,2,2,16,20,25,59,.424,9,24,.375,16,35,.457,.500,19,26,.731,11,24,35,14,11,5,13,21,air-force,2023
,,,,,,14-18,2142,2146,,756,1636,.462,261,733,.356,495,903,.548,.542,369,511,.722,180,686,866,491,184,127,349,544,764,1718,.445,166,566,.293,598,1152,.519,.493,452,604,.748,254,714,968,323,183,99,342,545,air-force,2023
1,1,2022-11-07,,South Dakota State,REG (Non-Conf),W,81,80,OT,30,69,.435,11,31,.355,19,38,.500,.514,10,12,.833,8,23,31,16,5,5,9,17,31,59,.525,4,15,.267,27,44,.614,.559,14,17,.824,5,28,33,11,3,4,12,15,akron,2023
2,2,2022-11-11,N,Mississippi State,REG (Non-Conf),L,54,73,,16,49,.327,6,27,.222,10,22,.455,.388,16,24,.667,5,15,20,13,8,1,9,15,29,55,.527,7,14,.500,22,41,.537,.591,8,13,.615,10,30,40,17,9,0,14,21,akron,2023
3,3,2022-11-15,,Morgan State,REG (Non-Conf),W,65,59,,22,61,.361,6,25,.240,16,36,.444,.410,15,27,.556,15,22,37,13,8,7,11,11,24,64,.375,6,15,.400,18,49,.367,.422,5,7,.714,13,24,37,14,4,10,15,27,akron,2023
4,4,2022-11-21,N,Western Kentucky,REG (Non-Conf),W,72,53,,27,48,.563,9,22,.409,18,26,.692,.656,9,15,.600,9,30,39,10,3,0,13,16,20,54,.370,6,21,.286,14,33,.424,.426,7,13,.538,4,10,14,12,7,1,5,14,akron,2023
5,5,2022-11-22,N,Louisiana State,REG (Non-Conf),L,58,73,,14,54,.259,8,25,.320,6,29,.207,.333,22,30,.733,15,16,31,8,4,1,13,14,25,52,.481,9,19,.474,16,33,.485,.567,14,16,.875,5,20,25,14,9,3,9,23,akron,2023
6,6,2022-11-23,N,Nevada,REG (Non-Conf),L,58,62,,22,51,.431,7,22,.318,15,29,.517,.500,7,11,.636,3,26,29,8,6,1,13,19,21,57,.368,9,21,.429,12,36,.333,.447,11,13,.846,8,22,30,13,3,3,9,14,akron,2023
7,7,2022-11-30,@,Marshall,REG (Non-Conf),L,57,68,,24,71,.338,5,25,.200,19,46,.413,.373,4,11,.364,14,30,44,12,5,0,10,15,25,61,.410,8,28,.286,17,33,.515,.475,10,15,.667,6,27,33,13,8,9,10,13,akron,2023
8,8,2022-12-04,,Muskingum,REG (Non-Conf),W,80,33,,30,59,.508,15,33,.455,15,26,.577,.636,5,16,.313,11,27,38,19,13,4,12,13,13,52,.250,6,29,.207,7,23,.304,.308,1,7,.143,3,21,24,6,6,3,16,9,akron,2023
9,9,2022-12-11,,Jackson State,REG (Non-Conf),W,85,72,,28,52,.538,11,28,.393,17,24,.708,.644,18,21,.857,5,20,25,19,7,4,9,10,32,63,.508,3,9,.333,29,54,.537,.532,5,7,.714,7,18,25,14,6,1,12,20,akron,2023
10,10,2022-12-14,,Wright State,REG (Non-Conf),W,66,54,,25,62,.403,6,26,.231,19,36,.528,.452,10,14,.714,9,30,39,11,10,2,11,16,23,63,.365,3,10,.300,20,53,.377,.389,5,8,.625,8,24,32,10,3,4,14,17,akron,2023
11,11,2022-12-19,,Maine,REG (Non-Conf),W,87,55,,31,57,.544,11,20,.550,20,37,.541,.640,14,16,.875,9,25,34,17,10,2,16,12,20,46,.435,8,20,.400,12,26,.462,.522,7,12,.583,3,13,16,11,10,0,22,17,akron,2023
12,12,2022-12-22,@,Bradley,REG (Non-Conf),L,55,74,,16,57,.281,8,21,.381,8,36,.222,.351,15,18,.833,10,29,39,6,5,2,15,12,27,64,.422,14,30,.467,13,34,.382,.531,6,9,.667,8,29,37,16,9,4,8,19,akron,2023
13,13,2022-12-30,,Concord,REG (Non-Conf),W,84,58,,27,59,.458,12,31,.387,15,28,.536,.559,18,28,.643,9,29,38,21,7,2,10,14,23,59,.390,4,17,.235,19,42,.452,.424,8,11,.727,7,22,29,8,6,2,17,21,akron,2023
14,14,2023-01-03,,Northern Illinois,REG (Conf),W,76,51,,26,57,.456,6,20,.300,20,37,.541,.509,18,23,.783,8,23,31,11,7,4,12,19,18,51,.353,2,15,.133,16,36,.444,.373,13,18,.722,10,18,28,5,5,4,17,24,akron,2023
15,15,2023-01-06,@,Ball State,REG (Conf),L,63,70,,19,49,.388,3,12,.250,16,37,.432,.418,22,26,.846,9,22,31,3,6,3,16,26,23,58,.397,3,14,.214,20,44,.455,.422,21,28,.750,15,17,32,6,7,6,10,18,akron,2023
16,16,2023-01-10,@,Bowling Green,REG (Conf),W,74,70,,25,62,.403,11,30,.367,14,32,.438,.492,13,14,.929,8,24,32,14,7,3,9,12,26,53,.491,10,21,.476,16,32,.500,.585,8,13,.615,3,29,32,15,6,3,12,17,akron,2023
17,17,2023-01-13,,Eastern Michigan,REG (Conf),W,104,67,,34,63,.540,10,33,.303,24,30,.800,.619,26,32,.813,8,33,41,22,2,1,7,18,20,57,.351,5,23,.217,15,34,.441,.395,22,26,.846,2,21,23,7,5,1,7,20,akron,2023
18,18,2023-01-17,@,Central Michigan,REG (Conf),W,69,51,,23,55,.418,8,26,.308,15,29,.517,.491,15,22,.682,6,25,31,13,7,2,9,19,16,47,.340,8,20,.400,8,27,.296,.426,11,16,.688,6,24,30,9,3,5,15,18,akron,2023
19,19,2023-01-21,@,Western Michigan,REG (Conf),W,63,55,,23,63,.365,8,35,.229,15,28,.536,.429,9,12,.750,6,23,29,9,8,5,3,16,21,55,.382,5,20,.250,16,35,.457,.427,8,12,.667,9,29,38,15,2,3,14,19,akron,2023
20,20,2023-01-24,,Miami (OH),REG (Conf),W,73,68,,23,53,.434,12,32,.375,11,21,.524,.547,15,17,.882,10,18,28,14,1,3,9,20,24,46,.522,6,17,.353,18,29,.621,.587,14,20,.700,6,16,22,10,4,0,9,22,akron,2023
21,21,2023-01-28,,Ohio,REG (Conf),W,83,77,,28,50,.560,9,16,.563,19,34,.559,.650,18,25,.720,7,24,31,13,3,0,10,13,29,56,.518,10,26,.385,19,30,.633,.607,9,15,.600,6,16,22,12,5,2,6,21,akron,2023
22,22,2023-01-31,@,Buffalo,REG (Conf),W,81,64,,31,56,.554,12,18,.667,19,38,.500,.661,7,10,.700,5,19,24,23,10,6,15,15,24,57,.421,5,20,.250,19,37,.514,.465,11,16,.688,11,20,31,16,8,5,18,14,akron,2023
23,23,2023-02-03,,Kent State,REG (Conf),W,67,55,,19,45,.422,9,22,.409,10,23,.435,.522,20,25,.800,6,24,30,12,6,4,12,14,21,56,.375,6,26,.231,15,30,.500,.429,7,11,.636,6,13,19,7,7,1,11,21,akron,2023
24,24,2023-02-07,,Toledo,REG (Conf),L,74,84,,27,66,.409,11,32,.344,16,34,.471,.492,9,11,.818,11,16,27,11,5,2,10,23,26,50,.520,9,18,.500,17,32,.531,.610,23,28,.821,7,25,32,14,1,4,8,12,akron,2023
25,25,2023-02-10,@,Ohio,REG (Conf),L,81,90,,30,59,.508,11,23,.478,19,36,.528,.602,10,18,.556,10,19,29,11,5,5,12,18,30,62,.484,10,16,.625,20,46,.435,.565,20,23,.870,10,19,29,13,7,1,10,18,akron,2023
26,26,2023-02-14,@,Eastern Michigan,REG (Conf),W,78,51,,28,64,.438,10,30,.333,18,34,.529,.516,12,17,.706,15,27,42,14,4,2,8,12,19,50,.380,1,15,.067,18,35,.514,.390,12,14,.857,3,20,23,9,4,3,12,17,akron,2023
27,27,2023-02-18,,Buffalo,REG (Conf),W,86,66,,29,61,.475,8,22,.364,21,39,.538,.541,20,23,.870,11,22,33,15,7,3,10,14,26,56,.464,6,18,.333,20,38,.526,.518,8,12,.667,5,20,25,9,4,1,13,20,akron,2023
28,28,2023-02-21,@,Toledo,REG (Conf),L,63,84,,26,59,.441,4,21,.190,22,38,.579,.475,7,14,.500,9,23,32,10,3,0,10,11,32,61,.525,10,20,.500,22,41,.537,.607,10,13,.769,7,25,32,16,7,7,7,17,akron,2023
29,29,2023-02-25,,Western Michigan,REG (Conf),W,81,64,,29,55,.527,13,32,.406,16,23,.696,.645,10,15,.667,4,26,30,22,7,2,5,14,22,59,.373,12,39,.308,10,20,.500,.475,8,10,.800,6,18,24,7,3,0,12,13,akron,2023
