Rk,Gtm,Date,...4,Opp,Type,ScoreRslt,ScoreTm,ScoreOpp,ScoreOT,TeamFG,TeamFGA,TeamFG_pct,Team3P,Team3PA,Team3P_pct,Team2P,Team2PA,Team2P_pct,TeameFG_pct,TeamFT,TeamFTA,TeamFT_pct,TeamORB,TeamDRB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,OpponentFG,OpponentFGA,OpponentFG_pct,Opponent3P,Opponent3PA,Opponent3P_pct,Opponent2P,Opponent2PA,Opponent2P_pct,OpponenteFG_pct,OpponentFT,OpponentFTA,OpponentFT_pct,OpponentORB,OpponentDRB,OpponentTRB,OpponentAST,OpponentSTL,OpponentBLK,OpponentTOV,OpponentPF,team,season
20,20,2022-01-24,@,Texas Southern,REG (Conf),L,66,73,,25,62,.403,5,22,.227,20,40,.500,.444,11,17,.647,3,25,28,12,11,2,8,26,28,64,.438,4,24,.167,24,40,.600,.469,13,23,.565,14,32,46,16,5,4,14,20,alabama-state,2022
21,21,2022-01-29,,Bethune-Cookman,REG (Conf),W,79,73,,29,60,.483,6,15,.400,23,45,.511,.533,15,20,.750,9,16,25,15,6,3,9,15,26,51,.510,6,13,.462,20,38,.526,.569,15,19,.789,7,20,27,12,5,1,12,19,alabama-state,2022
22,22,2022-01-31,,Florida A&M,REG (Conf),L,65,66,,21,59,.356,7,21,.333,14,38,.368,.415,16,23,.696,11,19,30,11,3,3,6,14,24,52,.462,5,17,.294,19,35,.543,.510,13,19,.684,11,23,34,13,2,3,10,17,alabama-state,2022
23,23,2022-02-05,@,Grambling State,REG (Conf),W,80,72,,26,56,.464,9,16,.563,17,40,.425,.545,19,26,.731,9,26,35,13,11,3,18,13,26,71,.366,8,31,.258,18,40,.450,.423,12,14,.857,15,22,37,10,10,3,16,18,alabama-state,2022
24,24,2022-02-07,@,Southern,REG (Conf),L,58,72,,19,52,.365,7,22,.318,12,30,.400,.433,13,21,.619,10,21,31,11,7,6,16,15,26,70,.371,6,25,.240,20,45,.444,.414,14,18,.778,18,25,43,13,11,4,12,19,alabama-state,2022
25,25,2022-02-12,,Arkansas–Pine Bluff,REG (Conf),L,70,75,,24,48,.500,6,14,.429,18,34,.529,.563,16,30,.533,4,17,21,15,7,1,12,23,27,60,.450,5,19,.263,22,41,.537,.492,16,22,.727,12,24,36,7,4,4,10,22,alabama-state,2022
26,26,2022-02-14,,Mississippi Valley State,REG (Conf),L,71,85,,27,62,.435,4,23,.174,23,39,.590,.468,13,18,.722,9,18,27,17,8,1,9,14,30,55,.545,14,25,.560,16,30,.533,.673,11,16,.688,7,21,28,21,5,3,12,16,alabama-state,2022
27,27,2022-02-19,@,Florida A&M,REG (Conf),L,83,86,OT,25,61,.410,8,15,.533,17,46,.370,.475,25,38,.658,12,18,30,12,12,0,12,19,31,53,.585,6,16,.375,25,37,.676,.642,18,25,.720,3,25,28,21,6,4,20,26,alabama-state,2022
28,28,2022-02-21,@,Bethune-Cookman,REG (Conf),W,89,78,,29,51,.569,10,21,.476,19,30,.633,.667,21,26,.808,9,18,27,15,7,4,17,16,29,59,.492,6,17,.353,23,42,.548,.542,14,19,.737,8,12,20,15,13,0,12,22,alabama-state,2022
29,29,2022-02-26,@,Alabama A&M,REG (Conf),L,65,80,,23,75,.307,4,28,.143,19,47,.404,.333,15,19,.789,13,23,36,9,6,2,6,17,26,56,.464,4,12,.333,22,44,.500,.500,24,30,.800,7,33,40,14,3,9,9,14,alabama-state,2022
30,30,2022-03-03,,Southern,REG (Conf),W,77,67,,25,47,.532,6,14,.429,19,33,.576,.596,21,27,.778,9,25,34,11,7,6,27,21,23,56,.411,2,14,.143,21,42,.500,.429,19,28,.679,6,15,21,5,15,2,14,21,alabama-state,2022
31,31,2022-03-05,,Grambling State,REG (Conf),W,78,75,,24,49,.490,8,21,.381,16,28,.571,.571,22,26,.846,5,28,33,14,6,7,11,15,28,61,.459,9,21,.429,19,40,.475,.533,10,19,.526,8,23,31,10,7,0,11,20,alabama-state,2022
,,,,,,10-21,2160,2332,,751,1762,.426,193,581,.332,558,1181,.472,.481,465,666,.698,255,691,946,373,234,111,448,560,822,1863,.441,231,703,.329,591,1160,.509,.503,457,632,.723,319,724,1043,441,239,120,414,554,alabama-state,2022
1,1,2021-11-09,,Towson,REG (Non-Conf),L,56,77,,19,53,.358,5,24,.208,14,29,.483,.406,13,14,.929,5,22,27,8,3,5,14,19,30,64,.469,7,24,.292,23,40,.575,.523,10,22,.455,13,25,38,14,10,4,9,16,albany-ny,2022
2,2,2021-11-13,@,La Salle,REG (Non-Conf),L,64,67,,22,48,.458,7,15,.467,15,33,.455,.531,13,19,.684,6,16,22,12,15,1,22,24,23,47,.489,4,18,.222,19,29,.655,.532,17,21,.810,7,20,27,16,12,5,22,21,albany-ny,2022
3,3,2021-11-17,,Harvard,REG (Non-Conf),L,53,60,,20,55,.364,3,15,.200,17,40,.425,.391,10,16,.625,8,26,34,6,7,5,12,21,19,51,.373,8,23,.348,11,28,.393,.451,14,17,.824,5,26,31,10,4,1,10,17,albany-ny,2022
4,4,2021-11-20,@,Eastern Kentucky,REG (Non-Conf),L,64,77,,21,52,.404,5,18,.278,16,34,.471,.452,17,26,.654,4,25,29,8,8,2,14,19,26,60,.433,9,26,.346,17,34,.500,.508,16,22,.727,10,24,34,13,3,6,15,21,albany-ny,2022
5,5,2021-11-22,@,Kentucky,REG (Non-Conf),L,61,86,,24,70,.343,7,25,.280,17,45,.378,.393,6,13,.462,10,11,21,10,9,0,10,19,32,59,.542,5,15,.333,27,44,.614,.585,17,22,.773,10,32,42,13,3,8,17,15,albany-ny,2022
6,6,2021-11-24,N,Eastern Illinois,REG (Non-Conf),W,64,62,,23,52,.442,8,21,.381,15,31,.484,.519,10,16,.625,3,25,28,12,5,0,11,16,25,62,.403,9,17,.529,16,45,.356,.476,3,4,.750,8,23,31,14,2,1,8,16,albany-ny,2022
7,7,2021-12-01,@,Kansas State,REG (Non-Conf),L,43,71,,17,54,.315,1,18,.056,16,36,.444,.324,8,15,.533,8,17,25,7,5,3,11,16,26,56,.464,10,26,.385,16,30,.533,.554,9,13,.692,14,32,46,15,5,4,16,17,albany-ny,2022
8,8,2021-12-07,@,Yale,REG (Non-Conf),L,52,71,,19,51,.373,6,17,.353,13,34,.382,.431,8,11,.727,6,26,32,9,10,2,19,23,23,59,.390,10,29,.345,13,30,.433,.475,15,19,.789,10,26,36,15,8,5,13,14,albany-ny,2022
9,9,2021-12-11,,Columbia,REG (Non-Conf),W,60,59,,23,60,.383,6,19,.316,17,41,.415,.433,8,10,.800,8,27,35,12,6,5,14,16,22,59,.373,6,14,.429,16,45,.356,.424,9,17,.529,9,22,31,8,8,3,11,14,albany-ny,2022
